,Name,Street Address,Location,Type,Reviews,No of Reviews,Contact Number,Trip_advisor Url,Menu
0,Fatamorgana Gelato - Ice cream,12021 Ventura Blvd,"Los Angeles, CA 91604-2609","$$ - $$$, Dessert, Italian",5 of 5 bubbles,13 reviews,+1 818-606-0273,https://www.tripadvisor.com//Restaurant_Review-g32655-d12980016-Reviews-Fatamorgana_Gelato_Ice_cream-Los_Angeles_California.html,Check The Website for a Menu
1,Domingo's Italian Deli,17548 Ventura Blvd,"Los Angeles, CA 91316-3835",Italian,4.5 of 5 bubbles,8 reviews,+1 818-981-4466,https://www.tripadvisor.com//Restaurant_Review-g32655-d5603608-Reviews-Domingo_s_Italian_Deli-Los_Angeles_California.html,http://www.domingositaliandeli.com/menu.html
2,n/naka,3455 Overland Ave,"Los Angeles, CA 90034-5419","$$$$, Japanese, Sushi, Asian",5 of 5 bubbles,165 reviews,+1 310-836-6252,https://www.tripadvisor.com//Restaurant_Review-g32655-d3701882-Reviews-N_naka-Los_Angeles_California.html,http://www.n-naka.com/menus
3,Brent's Delicatessen & Restaurant,19565 Parthenia St,"Los Angeles, CA 91324-3406","$$ - $$$, American, Deli, Vegetarian Friendly",4.5 of 5 bubbles,"1,544 reviews",+1 818-886-5679,https://www.tripadvisor.com//Restaurant_Review-g32655-d348825-Reviews-Brent_s_Delicatessen_Restaurant-Los_Angeles_California.html,Check The Website for a Menu
4,Raffaello Ristorante,400 S Pacific Ave,"Los Angeles, CA 90731-2626","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,259 reviews,+1 310-514-0900,https://www.tripadvisor.com//Restaurant_Review-g32655-d446648-Reviews-Raffaello_Ristorante-Los_Angeles_California.html,Check The Website for a Menu
5,Providence,5955 Melrose Ave,"Los Angeles, CA 90038-3623","$$$$, Seafood, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,783 reviews,+1 323-460-4170,https://www.tripadvisor.com//Restaurant_Review-g32655-d594024-Reviews-Providence-Los_Angeles_California.html,Check The Website for a Menu
6,Flake,513 Rose Ave,"Los Angeles, CA 90291-2605","$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,124 reviews,+1 310-396-2333,https://www.tripadvisor.com//Restaurant_Review-g32655-d4340723-Reviews-Flake-Los_Angeles_California.html,http://www.veniceflake.com/menu
7,Angelini Osteria,7313 Beverly Blvd,"Los Angeles, CA 90036-2534","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,479 reviews,+1 323-297-0070,https://www.tripadvisor.com//Restaurant_Review-g32655-d350450-Reviews-Angelini_Osteria-Los_Angeles_California.html,Check The Website for a Menu
8,Maccheroni Republic,332 S Broadway,"Los Angeles, CA 90013-1208","$$ - $$$, Italian, Mediterranean, Sicilian",4.5 of 5 bubbles,322 reviews,+1 213-346-9725,https://www.tripadvisor.com//Restaurant_Review-g32655-d3848093-Reviews-Maccheroni_Republic-Los_Angeles_California.html,Check The Website for a Menu
9,Toast Bakery Cafe,8221 W 3rd St,"Los Angeles, CA 90048-4302","$$ - $$$, Cafe, American, Vegetarian Friendly",4.5 of 5 bubbles,384 reviews,+1 323-655-5018,https://www.tripadvisor.com//Restaurant_Review-g32655-d350178-Reviews-Toast_Bakery_Cafe-Los_Angeles_California.html,Check The Website for a Menu
