,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
0,San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744","$$ - $$$, Italian, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,695 reviews,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com//Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/
1,Villa Borghese III,475 Washington Blvd,"Jersey City, NJ 07310-2118","$$ - $$$, Seafood, Italian, Pizza",4 of 5 bubbles,130 reviews,"Came here today for a white party brunch with some friends. It was clearly an event and not a usual day of service. The music was pumping and they had hookah available. Service was good, but I definitely felt that the drinks were watered down....More",+1 201-420-4823,https://www.tripadvisor.com//Restaurant_Review-g46531-d3296983-Reviews-Villa_Borghese_III-Jersey_City_New_Jersey.html,Check The Website for a Menu
2,Razza Pizza Artigianale,275 Grove St,"Jersey City, NJ 07302-3601","$$ - $$$, Pizza, Italian, Vegetarian Friendly",4.5 of 5 bubbles,157 reviews,"love the place, and the hazelnut pizza. I wish they could take phone orders too. Its nice place to sit in and eat or have drinks. But if one just wants pizza, they have to wait at the premises for them to take the order...More",+1 201-356-9348,https://www.tripadvisor.com//Restaurant_Review-g46531-d4062186-Reviews-Razza_Pizza_Artigianale-Jersey_City_New_Jersey.html,Check The Website for a Menu
3,Roman Nose,125 Newark Ave,"Jersey City, NJ 07302-2811","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,218 reviews,"Absolutely delicious! You must have the seafood pasta. Came here for a birthday dinner with friends. The host and waiter allowed us to bring balloons and seated us in the back so that we would have space. 
Though the space was filled with couples celebrating,...More",+1 201-360-2176,https://www.tripadvisor.com//Restaurant_Review-g46531-d3625851-Reviews-Roman_Nose-Jersey_City_New_Jersey.html,http://www.romannosejc.com/menus/
4,City Diner,31 Montgomery St,"Jersey City, NJ 07302-3869","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,492 reviews,Enjoyed a nice dinner with a couple of friends at City Diner. Great food and service. Definetely coming back soon!,+1 201-721-5331,https://www.tripadvisor.com//Restaurant_Review-g46531-d2541618-Reviews-City_Diner-Jersey_City_New_Jersey.html,Check The Website for a Menu
5,Lighthorse Tavern,199 Washington St,"Jersey City, NJ 07302-4527","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,385 reviews,"We enjoyed a delicious, high-value Hudson Restaurant Week dinner at this atmospheric neighborhood restaurant. The three courses were full-size, not reduced as one often sees in prix-fixe specials.  The six oysters on the half shell we ordered for the first course were among the best...More",+1 201-946-2028,https://www.tripadvisor.com//Restaurant_Review-g46531-d797691-Reviews-Lighthorse_Tavern-Jersey_City_New_Jersey.html,Check The Website for a Menu
6,Liberty House Restaurant,76 Audrey Zapp Dr,"Jersey City, NJ 07305-4127","$$$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,414 reviews,I’ve always heard of flan. It honestly sounded unappetizing at first word. But don’t knock I til you try. Delicious,+1 201-395-0300,https://www.tripadvisor.com//Restaurant_Review-g46531-d1312738-Reviews-Liberty_House_Restaurant-Jersey_City_New_Jersey.html,Check The Website for a Menu
7,City Vineyard,233 West Street,"New York City, NY 10013","$$ - $$$, American, Bar, Seafood",4.5 of 5 bubbles,374 reviews,"Came here to see Andrea Gibson perform, we were excited for the show but became even more excited when we saw what a cool spot this was, the Views and vibe were awesome and to match the ambiance, the service and food were phenomenal. We...More",+1 646-677-8350,https://www.tripadvisor.com//Restaurant_Review-g60763-d10778920-Reviews-City_Vineyard-New_York_City_New_York.html,Check The Website for a Menu
8,Battello,502 Washington Blvd,"Jersey City, NJ 07310-1608","$$ - $$$, Italian, American, Seafood",4 of 5 bubbles,294 reviews,"Located on a pier that juts into the Hudson River, Battello delivers spectacular views of the Manhattan skyline. Worth it for the setting alone, the food is also excellent with interesting takes on Italian food. Pastas are very good, with innovative sauces, and they can...More",+1 201-798-1798,https://www.tripadvisor.com//Restaurant_Review-g46531-d6453534-Reviews-Battello-Jersey_City_New_Jersey.html,https://www.battellojc.com/menu/
9,Porto Leggero,Harborside Financial Center - Plaza 5,"Jersey City, NJ 07311","$$$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,183 reviews,First time for dinner. 2 couples. Delicious mushroom soup and scallop and salad appetizers. Fish main dishes from the creative menu side prepared in a potato crust were super. Short ribs excellent. Daily special tortellini stuffed with meat was outstanding. Terrific service and frequent checking...More,+1 201-434-3200,https://www.tripadvisor.com//Restaurant_Review-g46531-d1119688-Reviews-Porto_Leggero-Jersey_City_New_Jersey.html,Check The Website for a Menu
