,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
0,Angelina Bakery NYC,575 8th Ave,"New York City, NY 10018-3011","$$ - $$$, Bakeries, Cafe",4.5 of 5 bubbles,85 reviews,"I have to confess we ate theee different things in one evening, because, well everything is irresistible. The pistachio bombolone was heavenly. Stuffed to the gills with creamy, pistachio goodness. And the mini croissants were also filled with luscious cream. And the Nutella latte. Yum....More",+1 212-687-7100,https://www.tripadvisor.com//Restaurant_Review-g60763-d16778607-Reviews-Angelina_Bakery_NYC-New_York_City_New_York.html,https://www.seamless.com/menu/angelina-bakery-575-8th-ave-new-york/1239955
1,Piccola Cucina Osteria,196 Spring St,"New York City, NY 10012-3621","$$ - $$$, Italian, Mediterranean, Neapolitan",4.5 of 5 bubbles,"2,617 reviews","Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. Our dinner was an all around excellent experience and it’s easy to see...More",+1 646-478-7488,https://www.tripadvisor.com//Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf
2,Obao,222 E 53rd Street,"New York City, NY 10022-5205","$$ - $$$, Vietnamese, Fusion, Vegetarian Friendly",4.5 of 5 bubbles,349 reviews,Cery good Vietnamese food with affordable prices. New York in a pocket . I will be back very soo. Thank you!,+1 212-308-5588,https://www.tripadvisor.com//Restaurant_Review-g60763-d3263717-Reviews-Obao-New_York_City_New_York.html,Check The Website for a Menu
3,Piccola Cucina,184 Prince St,"New York City, NY 10012-2979","$$ - $$$, Italian, European, Sicilian",4.5 of 5 bubbles,"1,045 reviews","A very little restaurant but they provide amazing food and they are the nicest people you will meet. Loved it, would happily come again when in NY!",+1 212-625-3200,https://www.tripadvisor.com//Restaurant_Review-g60763-d1731141-Reviews-Piccola_Cucina-New_York_City_New_York.html,Check The Website for a Menu
4,Olio e Piu,3 Greenwich Ave,"New York City, NY 10014-3543","$$ - $$$, Italian, Pizza, Tuscan",4.5 of 5 bubbles,"2,534 reviews","Love this place!!!
The food is amazing, and the atmosphere is so warm! Can’t wait to come back. Ilir you’re the best. Thanks for a delightful evening!",+1 212-243-6546,https://www.tripadvisor.com//Restaurant_Review-g60763-d1878682-Reviews-Olio_e_Piu-New_York_City_New_York.html,Check The Website for a Menu
5,Boucherie West Village,99 7th Ave S,"New York City, NY 10014-3415","$$ - $$$, French, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,"1,085 reviews",Wonderful Sunday Brunch. The Food was delicious and great service. Great atmosphere with French flair.,+1 212-837-1616,https://www.tripadvisor.com//Restaurant_Review-g60763-d11918545-Reviews-Boucherie_West_Village-New_York_City_New_York.html,Check The Website for a Menu
6,Bleecker Street Pizza,69 7th Ave S,"New York City, NY 10014-4043","$, Italian, Pizza, Fast Food",4.5 of 5 bubbles,"1,439 reviews","The pizza slice was good, and the toppings were great (sausage and pepperoni), and the base was quite crispy and a hit like eating toast (but really thin toast). Bleecker Street Pizza came highly recommended and I can see why. It was good  and it...More",+1 212-924-4466,https://www.tripadvisor.com//Restaurant_Review-g60763-d479337-Reviews-Bleecker_Street_Pizza-New_York_City_New_York.html,Check The Website for a Menu
7,Obao,647 9th Ave,"New York City, NY 10036-3661","$$ - $$$, Asian, Thai, Vietnamese",4.5 of 5 bubbles,"1,049 reviews","Food volume is relatively small, the spring rolls were not crispy, the pho was not tender as well. Consider the location and the price, it's an Okay place to go if you have no better choice.",+1 212-245-8880,https://www.tripadvisor.com//Restaurant_Review-g60763-d5937621-Reviews-Obao-New_York_City_New_York.html,http://www.obaony.com/new-menu-hells-kitchen-2019
8,Mei Jin Ramen,1574 2nd Ave,"New York City, NY 10028-2617","$$ - $$$, Japanese, Soups, Asian",4.5 of 5 bubbles,144 reviews,Good ramens (but soup was a bit too oily/fatty) with delicious gyozas. Atmosphere of the restaurant is ok.,+1 212-327-2800,https://www.tripadvisor.com//Restaurant_Review-g60763-d7284388-Reviews-Mei_Jin_Ramen-New_York_City_New_York.html,http://meijinramen.net/menu
9,Boucherie Union Square,225 Park Ave S,"New York City, NY 10003-1604","$$$$, French, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,995 reviews,"The service was fast and the food was delicious.As for drink I prefer cocktail, anybody who loves to drink cocktails, I would recommend you to try Japonica.",+1 212-353-0200,https://www.tripadvisor.com//Restaurant_Review-g60763-d13504265-Reviews-Boucherie_Union_Square-New_York_City_New_York.html,Check The Website for a Menu
10,Spice Symphony,150 E 50th St,"New York City, NY 10022-9500","$$ - $$$, Indian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"2,580 reviews","Great food and service! We had a mix of Indian and Chinese dishes, and everything came out perfect. Our waiter - Nisar - was wonderful.",+1 212-300-4869,https://www.tripadvisor.com//Restaurant_Review-g60763-d3603515-Reviews-Spice_Symphony-New_York_City_New_York.html,http://www.spicesymphony.com/50th-street/spice-symphony-dinner-menu.pdf
11,Piccola Cucina Estiatorio,75 Thompson St,"New York City, NY 10012-4345","$$ - $$$, Italian, Seafood, Mediterranean",4.5 of 5 bubbles,166 reviews,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,https://www.tripadvisor.com//Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf
12,Daniel,60 East 65th Street,"New York City, NY 10065-7056","$$$$, French, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"3,274 reviews","Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food  is amazing.",212 288 0033,https://www.tripadvisor.com//Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html,Check The Website for a Menu
13,K Rico Steakhouse,772 9th Ave,"New York City, NY 10019-6327","$$ - $$$, American, Steakhouse, Latin",4.5 of 5 bubbles,"3,083 reviews",Really enjoyed our meal here. Steak was delicious. Biggest baked potato I’ve ever seen. Lots of different dips and owner was really nice. Introduced himself and had a chat,+1 212-757-9393,https://www.tripadvisor.com//Restaurant_Review-g60763-d7617787-Reviews-K_Rico_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu
14,Loi Estiatorio,132 W 58th St,"New York City, NY 10019-2135","$$ - $$$, Mediterranean, Greek, Seafood",4.5 of 5 bubbles,535 reviews,"It looked promising, the chef came up to our table, but sadly enough the food wasn't any good. It was bland (we had the lasagna and the mussels) and the lasagna was very dry. There was no sauce in the lasagna at all. 10 mussels...More",+1 212-713-0015,https://www.tripadvisor.com//Restaurant_Review-g60763-d7814915-Reviews-Loi_Estiatorio-New_York_City_New_York.html,http://www.loiestiatorio.com/dinner/
15,SottoCasa Pizzeria,227 Lenox Ave,"New York City, NY 10027-6542","$$ - $$$, Pizza, Neapolitan, Campania",4.5 of 5 bubbles,406 reviews,"This is my second time here. I didn’t think it could get better but it did:) first time I ate pizza with blue cheese, which usually takes over all other tastes. In this case however, it was PERFECTION. This time however I ate the Special...More",+1 646-928-4870,https://www.tripadvisor.com//Restaurant_Review-g60763-d10165896-Reviews-SottoCasa_Pizzeria-New_York_City_New_York.html,https://sottocasanyc.com/harlem/
16,Petite Boucherie,14 Christopher St,"New York City, NY 10014-3523","$$ - $$$, French, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,503 reviews,"Beautiful authentic French bistrot. I had a wonderful experience, the service and food were excellent. I will definitely come back. Thank you !",+1 646-756-4145,https://www.tripadvisor.com//Restaurant_Review-g60763-d10145683-Reviews-Petite_Boucherie-New_York_City_New_York.html,Check The Website for a Menu
17,B Side Pizzeria,370 W 51st St,"New York City, NY 10019-6403","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,490 reviews,"We loved our visit. The Killer Bee Pizza is great and so is Marge. We also enjoyed the eggplant Parmesan. If anything could be better it would be the seating arrangement. In any case, we will certainly be back.",+1 646-679-7225,https://www.tripadvisor.com//Restaurant_Review-g60763-d7078660-Reviews-B_Side_Pizzeria-New_York_City_New_York.html,Check The Website for a Menu
18,Los Tacos No. 1,229 W 43rd St,"New York City, NY 10036-3982","$, Mexican, Latin, Central American",4.5 of 5 bubbles,515 reviews,This place is a must if your a taco fan.  I think it’s the best place to satisfy a Mexican craving.  It’s worth the wait as it will please your tastebuds and you will be back for more. Price wise I think it’s great value...More,+1 212-574-4696,https://www.tripadvisor.com//Restaurant_Review-g60763-d12874338-Reviews-Los_Tacos_No_1-New_York_City_New_York.html,http://lostacos1.com/menus/
19,Faicco's Pork Store,260 Bleecker St,"New York City, NY 10014-4128","$, Italian",4.5 of 5 bubbles,351 reviews,We visited Faicco's in New York to get a submarine sandwich (hero) for lunch.  The place was very busy and it is take away only.  The meats and sausages looked amazing in the butchers counter but we were just in for two hero's and a...More,+1 212-243-1974,https://www.tripadvisor.com//Restaurant_Review-g60763-d492626-Reviews-Faicco_s_Pork_Store-New_York_City_New_York.html,Check The Website for a Menu
20,Jungsik,2 Harrison St,"New York City, NY 10013-2810","$$$$, Asian, Korean, Gluten Free Options",4.5 of 5 bubbles,272 reviews,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",+1 212-219-0900,https://www.tripadvisor.com//Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu
21,City Vineyard,233 West Street,"New York City, NY 10013","$$ - $$$, American, Bar, Seafood",4.5 of 5 bubbles,374 reviews,"Came here to see Andrea Gibson perform, we were excited for the show but became even more excited when we saw what a cool spot this was, the Views and vibe were awesome and to match the ambiance, the service and food were phenomenal. We...More",+1 646-677-8350,https://www.tripadvisor.com//Restaurant_Review-g60763-d10778920-Reviews-City_Vineyard-New_York_City_New_York.html,Check The Website for a Menu
22,The Modern,9 W 53rd St,"New York City, NY 10019-5401","$$$$, Contemporary, American, Vegetarian Friendly",4.5 of 5 bubbles,"2,071 reviews",Kind of embarrassing that a 2 Michelin star chef gave someone with a gluten allergy breadcrumbs.. The first waiter assured me it was gluten free. After I had already eaten some a different waiter took it away and brought me the gluten free version.. The...More,+1 212-333-1220,https://www.tripadvisor.com//Restaurant_Review-g60763-d549201-Reviews-The_Modern-New_York_City_New_York.html,http://www.themodernnyc.com/menus/
23,Spice Symphony 31st,182 Lexington Ave,"New York City, NY 10016-6849","$$ - $$$, Indian, Asian, Vegetarian Friendly",4.5 of 5 bubbles,201 reviews,"There was absolutely nothing not to love about this great spot. We are ethnic food afficionados and travel alot. Of our four dinners in Manhattan, this is our numero uno choice. The food was absolutely delicious ( chicken tikka masala with a bit of added...More",+1 212-545-7742,https://www.tripadvisor.com//Restaurant_Review-g60763-d12383830-Reviews-Spice_Symphony_31st-New_York_City_New_York.html,Check The Website for a Menu
24,Buenos Aires,513 E 6th St,"New York City, NY 10009-6621","$$ - $$$, Steakhouse, Latin, Argentinean",4.5 of 5 bubbles,424 reviews,"In a city with thousands of places to eat, few are worth the trouble and cost of eating out. Even in NYC, having a great dining experience is not obvious.  Buenos Aires delivers on all expectations- every time.  I've been eating here since it opened...More",+1 212-228-2775,https://www.tripadvisor.com//Restaurant_Review-g60763-d901589-Reviews-Buenos_Aires-New_York_City_New_York.html,Check The Website for a Menu
25,Pure Thai Cookhouse,766 9th Ave,"New York City, NY 10019-6323","$$ - $$$, Asian, Thai, Vegetarian Friendly",4.5 of 5 bubbles,"1,458 reviews","Nice to see a restaurant that earns its reviews! Great meal, service and fun atmosphere.  Tiny restaurant- but they expanded so there is another space next to the main space, which was great.",+1 212-581-0999,https://www.tripadvisor.com//Restaurant_Review-g60763-d2099173-Reviews-Pure_Thai_Cookhouse-New_York_City_New_York.html,Check The Website for a Menu
26,Broadway Bagel,2658 Broadway,"New York City, NY 10025-5023","$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,230 reviews,Very delicious egg & cheese bagel at a very good price. Also try the brownie. It’s worth it for sure :),+1 212-662-0231,https://www.tripadvisor.com//Restaurant_Review-g60763-d3948791-Reviews-Broadway_Bagel-New_York_City_New_York.html,Check The Website for a Menu
27,San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744","$$ - $$$, Italian, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,695 reviews,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com//Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/
28,Le Bernardin,155 W 51st St,"New York City, NY 10019-6019","$$$$, French, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,"3,444 reviews","Had the Valentine’s tasting menu and the overall experience was amazing but not flawless.

Made reservation at 2:00. Got there ~1:55 and we have to stand awkwardly for ~20 min in a tiny space next to a bar watching other guests eating in the bar...More",+1 212-554-1515,https://www.tripadvisor.com//Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html,Check The Website for a Menu
29,Ora Di Pasta,1 W 59 Th Street,"New York City, NY 10019","$$ - $$$, Italian, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,235 reviews,Decent pasta in a good area of NYC. Very cool restaurant area in the food hall of the Home Alone Plaza Hotel!,+1 646-755-3013,https://www.tripadvisor.com//Restaurant_Review-g60763-d8144717-Reviews-Ora_Di_Pasta-New_York_City_New_York.html,http://demo.wpcharming.com/chicago/#menu
30,Norma,438 3rd Ave,"New York City, NY 10016-6040","$$ - $$$, Italian, Pizza, Mediterranean",4.5 of 5 bubbles,204 reviews,"Food--wow very Sicilian, prices fair
Service--friendly, efficient, genuine
Ambience--nice layout despite small space

More Italian heard here than most

Make sure you stop by if in the area",+1 212-889-0600,https://www.tripadvisor.com//Restaurant_Review-g60763-d11876357-Reviews-Norma-New_York_City_New_York.html,http://www.normarestaurant.com/menu/
31,SUGARCANE raw bar grill,55 Water St,"Brooklyn, NY 11201-1052","$$ - $$$, Latin, Sushi, Spanish",4 of 5 bubbles,172 reviews,We visited on a weekday for lunch. They put us (3) on a frankly cramped table with bench seating which was surprising as they weren't busy and there were free tables everywhere which would have given us a much more comfortable experience. We ordered our...More,+1 718-473-9555,https://www.tripadvisor.com//Restaurant_Review-g60827-d12908803-Reviews-SUGARCANE_raw_bar_grill-Brooklyn_New_York.html,Check The Website for a Menu
32,Very Juice,422 Avenue P,"Brooklyn, NY 11223-1935",Not Specified,5 of 5 bubbles,1 review,"I travel a lot but couldn’t find better Peanut Butter açaí anywhere else. Must have items: Creamy Green Smoothie, Cashew Cheese or Pesto Panini. I mean food is always great here. This review comes from real paying customer.",+1 718-676-9400,https://www.tripadvisor.com//Restaurant_Review-g60827-d15175217-Reviews-Very_Juice-Brooklyn_New_York.html,Check The Website for a Menu
33,Michael's of Brooklyn,2929 Avenue R,"Brooklyn, NY 11229-2604","$$$$, Italian, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,202 reviews,Perfect for Sunday dinner if you’re looking for macaroni and gravy (pasta /sauce)  without having to cook .. alm the classic italian dinners just like your grandma made .. very traditional  not too much garlic  thank god  because all good italians know not to use...More,+1 718-998-7851,https://www.tripadvisor.com//Restaurant_Review-g60827-d459576-Reviews-Michael_s_of_Brooklyn-Brooklyn_New_York.html,Check The Website for a Menu
34,Sottocasa Pizzeria,298 Atlantic Ave,"Brooklyn, NY 11201-6763","$$ - $$$, Italian, Pizza, Neapolitan",4.5 of 5 bubbles,330 reviews,Convenient to F train and has a bus stop at the front door. i especially like the  tables in the greenhouse out back. They also don't mind if you practice your Italian as you order. And did I mention the food is great? Always a...More,+1 718-852-8758,https://www.tripadvisor.com//Restaurant_Review-g60827-d3437996-Reviews-Sottocasa_Pizzeria-Brooklyn_New_York.html,http://www.sottocasanyc.com/brooklyn/menu
35,DeStefano's Steak House,89 Conselyea St,"Brooklyn, NY 11211-2301","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,281 reviews,This steakhouse came recommended and it was a nice experience. Food was plain and simple. No fuss. It was not as good as Keens in NYC but a close second. Steaks were well cooked and flavoursome. Staff were excellent. Thought that the atmosphere was a...More,+1 718-384-2836,https://www.tripadvisor.com//Restaurant_Review-g60827-d1370161-Reviews-DeStefano_s_Steak_House-Brooklyn_New_York.html,Check The Website for a Menu
36,Whiskey Tavern,79 Baxter St,"New York City, NY 10013-4462","$$ - $$$, American, Bar, Pub",4.5 of 5 bubbles,173 reviews,"Awesome little pub hidden away in Chinatown. Great service, busy place with bustling atmosphere. Had a lot of fun and left stuffed!",+1 212-374-9119,https://www.tripadvisor.com//Restaurant_Review-g60763-d2212145-Reviews-Whiskey_Tavern-New_York_City_New_York.html,Check The Website for a Menu
37,Kuu Ramen,20 John St,"New York City, NY 10038-4038","$, Japanese, Soups, Asian",4.5 of 5 bubbles,161 reviews,"Raw pork dumplings 
Ok ramen 
Large portion 
TripAdvisor should take down the reviews
It is misleading and undermines the ratings list",+1 212-571-7177,https://www.tripadvisor.com//Restaurant_Review-g60763-d7890999-Reviews-Kuu_Ramen-New_York_City_New_York.html,Check The Website for a Menu
38,Oregano,102 Berry St,"Brooklyn, NY 11249-3231","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,281 reviews,Beaut little place run by the nicest people. We were treated like friends and the food was superb. I’d go back in a heartbeat! Thanks team Oregano!,718-599-5988,https://www.tripadvisor.com//Restaurant_Review-g60827-d3639527-Reviews-Oregano-Brooklyn_New_York.html,http://www.oreganowilliamsburg.com/menu/
39,Jungsik,2 Harrison St,"New York City, NY 10013-2810","$$$$, Asian, Korean, Gluten Free Options",4.5 of 5 bubbles,272 reviews,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",+1 212-219-0900,https://www.tripadvisor.com//Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu
40,Piccola Cucina Osteria,196 Spring St,"New York City, NY 10012-3621","$$ - $$$, Italian, Mediterranean, Neapolitan",4.5 of 5 bubbles,"2,617 reviews","Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. Our dinner was an all around excellent experience and it’s easy to see...More",+1 646-478-7488,https://www.tripadvisor.com//Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf
41,Manhatta,28 Liberty St,"New York City, NY 10005-1400","$$$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,308 reviews,"Wow, what a place.  Food was fantastic.  Views are ridiculous.
But what set my visit apart was a specific manager working that night.
The beginning of my experience at the Chef's Table was less than stellar, but then Paris got involved.   I didn't have to...More",+1 212-230-5788,https://www.tripadvisor.com//Restaurant_Review-g60763-d14416742-Reviews-Manhatta-New_York_City_New_York.html,https://www.manhattarestaurant.com/menus/
42,Tomino - Taberna Gallega,192 Grand St,"New York City, NY 10013-3712","$$ - $$$, Spanish, Wine Bar, Mediterranean",4.5 of 5 bubbles,197 reviews,Excellent meals and service. Continental cooking in the heart of Manhattan. Great variety of authentic Spanish dishes.,+1 212-933-4763,https://www.tripadvisor.com//Restaurant_Review-g60763-d12990804-Reviews-Tomino_Taberna_Gallega-New_York_City_New_York.html,http://www.tominonyc.com/menus/
43,Juliana's Pizza,19 Old Fulton St,"Brooklyn, NY 11201-1322","$$ - $$$, Pizza, Neapolitan, Campania",4.5 of 5 bubbles,"3,095 reviews","Went here for dinner after walking across the Brooklyn Bridge.  We thought the pizza was excellent.  We had to wait a bit for a table but it was worth it.  And once we ordered, the food came fast. My son got the spaghetti and meatballs...More",+1 718-596-6700,https://www.tripadvisor.com//Restaurant_Review-g60827-d3741802-Reviews-Juliana_s_Pizza-Brooklyn_New_York.html,http://julianaspizza.com/menus/
44,Cafe Mogador,133 Wythe Ave,"Brooklyn, NY 11249-2809","$$ - $$$, Moroccan, Mediterranean, Middle Eastern",4.5 of 5 bubbles,466 reviews,"If you are into Moroccan cuisine, Cafe Mogador does not disappoint! Favs include the outrageously delectable falafel...(made me want to never again eat falafel at places I have defaulted to just because I was in the mood for it...) The Chicken Tagine with apricots was...More",+1 718-486-9222,https://www.tripadvisor.com//Restaurant_Review-g60827-d4617929-Reviews-Cafe_Mogador-Brooklyn_New_York.html,http://www.cafemogador.com/menu
