,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
0,Sal y Pimienta Kitchen,818 Town and Country Blvd,"Houston, TX 77024-4550","$$ - $$$, Latin, South American, Vegetarian Friendly",4.5 of 5 bubbles,200 reviews,"Excellent buffet. Lots of food for a very good price. Lamb, beef, pork, blood sausage, chicken all done perfectly. Various seafood preparations. Plenty of different salads and desserts. I highly recommend this place. Will be back many more times.
Servers are very helpful. Quick and...More",+1 832-849-0097,https://www.tripadvisor.com//Restaurant_Review-g56003-d6678645-Reviews-Sal_y_Pimienta_Kitchen-Houston_Texas.html,http://salypimientakitchen.com/lunchmenu.html
1,La Griglia,2002 West Gray St,"Houston, TX 77019","$$ - $$$, Italian, International, Contemporary",4.5 of 5 bubbles,446 reviews,"It’s a nice atmosphere inside the restaurant. Service was very good. 

Food was very tasty. Decent choice on the wine list. 

Good value for money.",+1 713-526-4700,https://www.tripadvisor.com//Restaurant_Review-g56003-d442284-Reviews-La_Griglia-Houston_Texas.html,Check The Website for a Menu
2,Taste of Texas Restaurant,10505 Katy Fwy,"Houston, TX 77024-1001","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,"3,807 reviews",Enjoyed a great dinnEnjoyed a great dinner at this restaurant. I had a steak and it was really good. The service is awesome too! er at this restaurant. I had a steak and my friend had a sa,+1 713-932-6901,https://www.tripadvisor.com//Restaurant_Review-g56003-d484555-Reviews-Taste_of_Texas_Restaurant-Houston_Texas.html,Check The Website for a Menu
3,Pappas Bros. Steakhouse,5839 Westheimer Rd,"Houston, TX 77057","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,"2,204 reviews","I took two international clients to a celebration dinner.  Our reservation was for 7:30, we weren't seated until AFTER 9:00 pm.  Our ""dinner / midnight snack"" didn't arrive until nearly 10 !!!
Who eats steak that late ?

A total waste of my time and...More",+1 713-780-7352,https://www.tripadvisor.com//Restaurant_Review-g56003-d484925-Reviews-Pappas_Bros_Steakhouse-Houston_Texas.html,Check The Website for a Menu
4,Mezza Grille,6100 Westheimer Rd,"Houston, TX 77057-4559","$$ - $$$, American, Fusion, Wine Bar",4.5 of 5 bubbles,389 reviews,Our first visit to this restaurant did not disappoint. The atmosphere was warm and a comfortable level of diner banter filled the air. They have a wide variety of offerings in their diverse menu. My wife is less adventurous in her choices and she found...More,+1 713-334-2000,https://www.tripadvisor.com//Restaurant_Review-g56003-d950501-Reviews-Mezza_Grille-Houston_Texas.html,http://places.singleplatform.com/cafe-mezza--grille/menu
5,Eddie V's Prime Seafood,12848 Queensbury Ln,"Houston, TX 77024-4159","$$$$, Seafood, American, Vegetarian Friendly",4.5 of 5 bubbles,620 reviews,"Wife & I go there about once a month all year long. Most of the time it is for one of their happy hour deals on a Friday at the end of the day. THe prices are right in line with other happy hour places,...More",+1 832-200-2380,https://www.tripadvisor.com//Restaurant_Review-g56003-d1865795-Reviews-Eddie_V_s_Prime_Seafood-Houston_Texas.html,Check The Website for a Menu
6,Vic & Anthony's Steakhouse,1510 Texas Ave,"Houston, TX 77002","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,"1,003 reviews","Houston has many fine steakhouses, but nothing is better than Vic & Anthony's.  The menu has a huge selection of appetizers, salads, entrees, drinks,and deserts.  I have never had a bad meal there and have eaten there dozens of times.  As would be expected, the...More",+1 713-228-1111,https://www.tripadvisor.com//Restaurant_Review-g56003-d1058725-Reviews-Vic_Anthony_s_Steakhouse-Houston_Texas.html,Check The Website for a Menu
7,BCN Taste & Tradition,4210 Roseland St,"Houston, TX 77006-5516","$$$$, Mediterranean, Spanish, Catalan",4.5 of 5 bubbles,215 reviews,Great service and food and cocktails. Dinner with friend that made reservations far in advance (recommended). Extremely popular but rather small in a very non-descript location near downtown. Worth seeking out.,+1 832-834-3411,https://www.tripadvisor.com//Restaurant_Review-g56003-d7133745-Reviews-BCN_Taste_Tradition-Houston_Texas.html,Check The Website for a Menu
8,The Capital Grille,5365 Westheimer Rd,"Houston, TX 77056-5402","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,428 reviews,"This is like many other Capital Grille a winner. Great food, even better service. They really care about special wishes. Also I like the wine pad with all the information about your wine",+1 713-623-4600,https://www.tripadvisor.com//Restaurant_Review-g56003-d442191-Reviews-The_Capital_Grille-Houston_Texas.html,https://www.thecapitalgrille.com/menu-listing?cmpid=br:tcg_ag:ie_ch:dry_ca:TCGQ120LOCURL_dt:20190530_sn:tripadvisor_gt:houston-tx-8007_pl:menu_rd:1008
9,Uchi,904 Westheimer Rd,"Houston, TX 77006-3920","$$$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,834 reviews,"I have been a number of times and have never been disappointed! the food is excellent, the service is excellent and the spicy cocktail is excellent, the experience is like no other Sushi restaurant in Houston.",+1 713-522-4808,https://www.tripadvisor.com//Restaurant_Review-g56003-d2543329-Reviews-Uchi-Houston_Texas.html,Check The Website for a Menu
10,Chama Gaucha Brazilian Steakhouse,5865 Westheimer Rd,"Houston, TX 77057-5616","$$$$, Steakhouse, Brazilian, South American",4.5 of 5 bubbles,908 reviews,My carnivorous kids like their birthdays celebrated in this place. Plus they get a free dessert with a candle to blow.,+1 713-244-9500,https://www.tripadvisor.com//Restaurant_Review-g56003-d2668858-Reviews-Chama_Gaucha_Brazilian_Steakhouse-Houston_Texas.html,Check The Website for a Menu
11,Pappas Bros. Steakhouse,1200 McKinney Street,"Houston, TX 77010","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,172 reviews,"Well you have to have one blowout meal on holiday and we chose Pappas Bros for a slap up steak.

It proved to be a great choice. 

Book ahead as the place was rammed, we only had to wait about five to ten minutes for...More",+1 713-658-1995,https://www.tripadvisor.com//Restaurant_Review-g56003-d10006651-Reviews-Pappas_Bros_Steakhouse-Houston_Texas.html,Check The Website for a Menu
12,Truluck's Steak & Stone Crab,5350 Westheimer Rd,"Houston, TX 77056-5403","$$$$, American, Seafood, Gluten Free Options",4.5 of 5 bubbles,764 reviews,"Absolutely beautiful dining room. Tall ceilings, large chandeliers. Some tables had candelabra. We were celebrating a special occasion and were not disappointed in any way.",+1 713-783-7270,https://www.tripadvisor.com//Restaurant_Review-g56003-d442208-Reviews-Truluck_s_Steak_Stone_Crab-Houston_Texas.html,Check The Website for a Menu
13,State Of Grace,3258 Westheimer Rd,"Houston, TX 77098-1002","$$$$, American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,228 reviews,"We stopped at State of Grace for a bite to eat after seeing a movie at the River Oaks Theatre.  Were taken care of by a slew of folks including Ashley, Chris, Christine and Nicole.  

We had a dozen of the Alabama oysters (delicious!) and...More",+1 832-942-5080,https://www.tripadvisor.com//Restaurant_Review-g56003-d8807484-Reviews-State_Of_Grace-Houston_Texas.html,http://stateofgracetx.com/menus/
14,Caracol Mexican Coastal Kitchen,2200 Post Oak Blvd,"Houston, TX 77056-4700","$$$$, Mexican, Latin, Seafood",4.5 of 5 bubbles,625 reviews,I always like to come at Caracol’s - We got a very delicious and elegant meal after a long day of traveling. Certainly a place I will recommend if you like Mexican food!,+1 713-622-9996,https://www.tripadvisor.com//Restaurant_Review-g56003-d5964321-Reviews-Caracol_Mexican_Coastal_Kitchen-Houston_Texas.html,http://www.caracol.net/menus/
15,Xochi,1777 Walker St,"Houston, TX 77010-5023","$$ - $$$, Mexican, Latin, Vegetarian Friendly",4.5 of 5 bubbles,324 reviews,Very nice modern restaurant with extensive cocktail menu and nouvelle Mexican cuisine that pays homage to traditional Mexican cooking. Loved the starter platter with all sorts of goodies including a guacamole that has toasted crickets included! Tried the crispy duck that was indeed crispy but...More,+1 713-400-3330,https://www.tripadvisor.com//Restaurant_Review-g56003-d12148412-Reviews-Xochi-Houston_Texas.html,http://xochihouston.com/menus/
