,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
0,Currant Bistro,2120 4th Avenue,"Seattle, WA 98121-2308","$$ - $$$, American, Mediterranean, European",4 of 5 bubbles,7 reviews,"We went to the bistro at the ground level of the hotel we stayed just out of convenience. However, the food was so surprisingly delicious. We loved every dish we ordered that night. Not to mention the good price for the food quality. Will definitely...More",+1 206-441-7456,https://www.tripadvisor.com//Restaurant_Review-g60878-d17149828-Reviews-Currant_Bistro-Seattle_Washington.html,https://tapestrycollection3.hilton.com/tc/wp-content/uploads/2019/03/CurrantBistroMenuDinner2019.pdf
1,Pizzeria Credo,4520 California Ave SW,"Seattle, WA 98116-4111","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,191 reviews,"Six of us dined here last night - Carbonara, pizzas, gnocchi, caprese and desserts were all excellent - both taste and presentation.  Warm, friendly and attentive service. Love this place!  A new favorite in Seattle.",+1 206-402-3784,https://www.tripadvisor.com//Restaurant_Review-g60878-d4765938-Reviews-Pizzeria_Credo-Seattle_Washington.html,http://pizzeriacredo.com/#our-menu
2,The Pink Door,1919 Post Aly,"Seattle, WA 98101-1014","$$ - $$$, Italian, Tuscan, Central-Italian",4.5 of 5 bubbles,"2,750 reviews",Must go place if you are in the area.  It’s in the post ally so it’s a little hard to find.  But it’s definitely worth the visit.  Wonderful food and great ambience for date with your significant other and great show too.  No photo or...More,+1 206-443-3241,https://www.tripadvisor.com//Restaurant_Review-g60878-d463486-Reviews-The_Pink_Door-Seattle_Washington.html,Check The Website for a Menu
3,Chan,86 Pine St,"Seattle, WA 98101-1531","$$ - $$$, Bar, Asian, Korean",4.5 of 5 bubbles,305 reviews,"Good but not great.  We waited until they opened at 5 because they don’t take reservations. Appetizers were good - we ate light due to a food walking tour that afternoon. The place is not big, but there were only two servers. So as the...More",+1 206-354-3564,https://www.tripadvisor.com//Restaurant_Review-g60878-d3226980-Reviews-Chan-Seattle_Washington.html,Check The Website for a Menu
4,Fremont Brewing,3409 Woodland Park Ave N,"Seattle, WA 98103-8925","$, Pub, Brew Pub",4.5 of 5 bubbles,185 reviews,"A amazing brewery for friends gathering. The beer is nice, the indoor and outdoor seat setting are very cool and perfect for friends gathering",+1 206-420-2407,https://www.tripadvisor.com//Restaurant_Review-g60878-d6900468-Reviews-Fremont_Brewing-Seattle_Washington.html,Check The Website for a Menu
5,Tilikum Place Cafe,407 Cedar St,"Seattle, WA 98121-1519","$$ - $$$, American, European, Vegetarian Friendly",4.5 of 5 bubbles,746 reviews,"One of our favorite brunch place in Seattle. Came back for the second time while we were in town. Food is absolutely lovely but the baked potatoes were a bit too dry for my taste. Overall, great place for brunch.",+1 206-282-4830,https://www.tripadvisor.com//Restaurant_Review-g60878-d1516303-Reviews-Tilikum_Place_Cafe-Seattle_Washington.html,Check The Website for a Menu
6,The Capital Grille,1301 4th Ave,"Seattle, WA 98101-2550","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,599 reviews,The ribeye was excellent. We were a large party and we were served at the same time with perfectly cooked food,+1 206-382-0900,https://www.tripadvisor.com//Restaurant_Review-g60878-d1074759-Reviews-The_Capital_Grille-Seattle_Washington.html,Check The Website for a Menu
7,Spinasse,1531 14th Ave,"Seattle, WA 98122-4023","$$$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,398 reviews,"A fantastic find on Capital Hill for a couple of Seattle natives. Wonderful fresh pasta dishes but more important, the 1/2 portions is what makes it special. More opportunity to try more of their great food.",+1 206-251-7673,https://www.tripadvisor.com//Restaurant_Review-g60878-d1572671-Reviews-Spinasse-Seattle_Washington.html,Check The Website for a Menu
8,Altura Restaurant,617 Broadway E,"Seattle, WA 98102-5025","$$$$, Italian, Vegetarian Friendly",4.5 of 5 bubbles,345 reviews,"I don't attend fancy dinners, but decided to splurge once with another couple. Simply amazing! The food had layers of flavor that literally became the topic of conversation until the next dish. Drinks were endless and the atmosphere melted away as the focus was on...More",+1 206-402-6749,https://www.tripadvisor.com//Restaurant_Review-g60878-d3206583-Reviews-Altura_Restaurant-Seattle_Washington.html,https://alturarestaurant.com/assets/pdf/Altura%2520Dinner%2520Menu.pdf
9,Rocco's,2228 2nd Ave,"Seattle, WA 98121-2017","$$ - $$$, Italian, American, Bar",4.5 of 5 bubbles,362 reviews,Around $40 for the whole pie but you can do 50:50 on the topping for to get 2 different pies. Or order by the slice if you prefer. Pizza are huge 20 inches. Decent drinks choice & nice touch with the cucumber water,+1 206-448-2625,https://www.tripadvisor.com//Restaurant_Review-g60878-d4932034-Reviews-Rocco_s-Seattle_Washington.html,Check The Website for a Menu
10,Nue,1519 14th Ave,"Seattle, WA 98122-4023","$$ - $$$, Street Food, International, Vegan Options",4.5 of 5 bubbles,167 reviews,"We made Yelp reservations for 1:30 but not necessary on a Wednesday in December with only 5 other customers. Attentive waitperson/bartender. Ambiance is eclectic with wall of old pinball machine, storage for wine and beer, and global knick knacks housed in 2×4/crate construction. Open kitchen....More",+1 206-257-0312,https://www.tripadvisor.com//Restaurant_Review-g60878-d7951600-Reviews-Nue-Seattle_Washington.html,Check The Website for a Menu
11,Shaker + Spear,2000 2nd Avenue,"Seattle, WA 98121","$$ - $$$, American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,278 reviews,"It was a cold and rainy November night when I met a friend here for light fare and drinks at the bar. At 5:30 p.m., many tables still remained vacant in the lovely dining room but we had agreed to enjoy a less formal dining...More",+1 206-826-1700,https://www.tripadvisor.com//Restaurant_Review-g60878-d7656614-Reviews-Shaker_Spear-Seattle_Washington.html,Check The Website for a Menu
12,Shiro's,2401 2nd Ave,"Seattle, WA 98121-1424","$$$$, Japanese, Seafood, Sushi",4.5 of 5 bubbles,477 reviews,"Chef Sean is the best! We had the pleasure of sitting at the counter and enjoying 26 rounds of delicious omakse (yes, we were stuffed). Sean chatted with us the entire time, was extremely knowledgeable of his craft, and catered our dinner to our likes....More",+1 206-443-9844,https://www.tripadvisor.com//Restaurant_Review-g60878-d433083-Reviews-Shiro_s-Seattle_Washington.html,Check The Website for a Menu
13,Citizen Coffee,706 Taylor Ave N,"Seattle, WA 98109-4221","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,412 reviews,"The restaurant is small but is worth waiting for seating.  Wonderful crepes, drinks and service. I will visit again.",Not Available,https://www.tripadvisor.com//Restaurant_Review-g60878-d1724258-Reviews-Citizen_Coffee-Seattle_Washington.html,Check The Website for a Menu
14,Vons 1000 Spirits,1225 1st Ave,"Seattle, WA 98101-2998","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,823 reviews,"The menu offers a vast choice of meal : burger, fish, etc 

I went for the pizza. I was a bit disappointed as the pizza was served on a grill which make the it difficult to eat. There was too much oil in the pizza...More",+1 206-621-8667,https://www.tripadvisor.com//Restaurant_Review-g60878-d3973420-Reviews-Vons_1000_Spirits-Seattle_Washington.html,Check The Website for a Menu
